SMILES,tg
*CC(*)c1ccccc1C(=O)OCCC(C)C,68
*CC(*)c1ccccc1C(=O)OCCCCCC,45
*CC(*)c1ccccc1C(=O)Oc1ccccc1,124
*CC(*)c1ccccc1C(=O)OCCN(C)C,69
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,91
*CC(*)c1ccccc1Cl,119
*CC(*)c1ccccc1F,160.5
*CC(*)c1cccc(C)c1,75
*CC(*)c1cccc(Cl)c1,90
*CC(*)c1cccc(F)c1,86
*CC(*)c1ccc(C)cc1,103
*CC(*)c1ccc(CC)cc1,71.4
*CC(*)c1ccc(C(C)C)cc1,62.4
*CC(*)c1ccc(CCCC)cc1,6
*CC(*)c1ccc(C(C)(C)C)cc1,138
*CC(*)c1ccc(CCCCCC)cc1,-27
*CC(*)c1ccc(CCCCCCCC)cc1,-45
*CC(*)c1ccc(CCCCCCCCC)cc1,-53
*CC(*)c1ccc(CCCCCCCCCC)cc1,-65
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,-52
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,-36
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,4.5
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,32
*CC(*)c1ccc(-c2ccccc2)cc1,161.5
*CC(*)c1ccc(COCCOCC)cc1,0
*CC(*)c1ccc(C#N)cc1,180
*CC(*)c1ccc(Cl)cc1,124
*CC(*)c1ccc(Br)cc1,132
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,42
*CC(*)c1ccc(/C(C)=N/O)cc1,134
*CC(*)c1ccc(C(C)(C)O)cc1,170
*CC(*)c1ccc(C(C)(O)CC)cc1,190
*CC(*)c1ccc(C(C)(O)CCC)cc1,135
*CC(*)c1ccc(C(C)(O)CCCC)cc1,90
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,100
*CC(*)c1ccc(C(O)CCN(C)C)cc1,43
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,54
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,50
*CC(*)c1ccc(COC)cc1,77
*CC(*)c1ccc(COCCO)cc1,46
*CC(*)c1ccc(COCCC)cc1,22
*CC(*)c1ccc(COCCCC)cc1,10
*CC(*)c1ccc(COCCCCO)cc1,20
*CC(*)c1ccc(COC(C)CC)cc1,40
*CC(*)c1ccc(COCCCCCC)cc1,-20
*CC(*)c1ccc(COCCOCCCC)cc1,-38
*CC(*)c1ccc(C(=O)N(C)C)cc1,125
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,102
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,114
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,38
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,127
*CC(*)c1ccc(C(=O)OC)cc1,122
*CC(*)c1ccc(C(=O)OCC)cc1,94
*CC(*)c1ccc(C(=O)OCCC)cc1,92
*CC(*)c1ccc(C(=O)OC(C)C)cc1,95
*CC(*)c1ccc(C(=O)OCCCC)cc1,76
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,90
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,66
*CC(*)c1ccc(C(=O)CC)cc1,102
*CC(*)c1ccc(C(=O)CCC)cc1,74
*CC(*)c1ccc(C(=O)CCCC)cc1,70
*CC(*)c1ccc(C(=O)CCCCC)cc1,66
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,50
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,78
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,98
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,99
*CC(*)c1ccc(F)cc1,95
*CC(*)c1ccc(I)cc1,158
*CC(*)c1ccc(OC)cc1,108.4
*CC(*)c1ccc(OCC)cc1,86
*CC(*)c1ccc(OCCC)cc1,70
*CC(*)c1ccc(OCCCC)cc1,52
*CC(*)c1ccc(OCCC(C)C)cc1,57
*CC(*)c1ccc(Oc2ccccc2)cc1,85
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,217
*CC(*)c1ccc([Si](C)(C)C)cc1,136
*CC(*)c1c(Cl)cccc1Cl,165
*CC(*)c1ccc(C)cc1C,112
*CC(*)c1ccc(Cl)cc1C,145
*CC(*)c1ccc(Cl)cc1Cl,135
*CC(*)c1cc(C)ccc1C,143
*CC(*)c1cc(C(C)(C)C)ccc1C,87
*CC(*)c1cc(Cl)ccc1Cl,108
*CC(*)c1cc(Br)ccc1OCCCC,47
*CC(*)c1cc(Br)ccc1OCC,80
*CC(*)c1cc(Br)ccc1OC,86
*CC(*)c1cc(Br)ccc1OCCC,54
*CC(*)c1cc(Br)ccc1OC(C)C,35
*CC(*)c1cc(Br)ccc1OCCCCC,49
*CC(*)c1cc(Br)ccc1OCCC(C)C,37
*CC(*)c1cc(C)cc(C)c1,112
*CC(*)c1ccc(C)c(C)c1,111
*CC(*)c1ccc(Cl)c(C)c1,114
*CC(*)c1ccc(Cl)c(Cl)c1,128
*CC(*)c1ccc(Cl)c(F)c1,122
*CC(*)c1c(C)cc(C)cc1C,126
*CC(*)c1cc(C)c(C)cc1C,104
*CC(*)(C)c1ccccc1,168
*CC(*)(C)c1ccc(C(C)C)cc1,140
*C(F)(F)C(*)(F)c1ccccc1,206
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,194
*CC(*)c1cccc2ccccc12,160
*CC(*)c1ccc(C(C)=O)cc1,115.5
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,41
*CC(*)(C(=O)OC)c1ccccc1,121
*CC(*)(C)c1ccc(C)cc1,176
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,95
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,103
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,84
*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1,35
*CC(*)c1ccc2ccccc2c1,146.5
*CC(*)c1ccncc1,150
*CC(*)c1cccc(C)n1,92
*CC(*)c1ccc(C)nc1,136
*CC(*)n1cc2ccccc2n1,41.5
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,150
*CC(*)c1ccc(O)cc1,158
*CC(*)c1ccc(OC(C)=O)cc1,113
*CC(*)c1ccc(CCC)cc1,46.75
*CC(*)c1ccc(COCC(CC)CCCC)cc1,-23
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,-42
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],97
*CC(*)O,76.5
*CC(*)C(C)=O,115
*CC(*)C#N,95
*CC(*)(C)C#N,88.5
*CC(*)c1ccccn1,105
*CC(*)n1c2ccccc2c2ccccc21,225
*CC(*)C[Si](C)(C)C,114
*CC(*)OC,-25.8
*CC(*)OCC,-33
*CC(*)OCCCC,-51
*CC(*)OCCCCC,-66
*CC(*)OCCCCCC,-74
*CC(*)OCCCCCCCCCC,-62
*CC(*)OC(C)=O,32
*CC(*)OC(=O)CC,11.9
*CC(*)OC(=O)c1ccccc1,70.4
*CC(*)OCC(C)C,-22
*CC(*)O[N+](=O)[O-],37.5
*/C=C/C(C)C(*)C(=O)OC,53
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,-73
*CC(*)CC[Si](C)(C)C,132
*CC(*)OC=O,37
*CC(*)OC(C)C,-7.5
*CC(*)(C)OC,67
*CC(*)OC(C)CC,-26
*CC(*)OC(=O)C(F)(F)F,55
*C1CC(*)(C#N)C1,220
*CC(*)Cc1cccc(C)c1,40
*CC(*)Cc1ccccc1C,80
*CC(*)Cc1ccc(C)cc1,65
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,121
*/C=C/C(C*)OC,-10.5
*CC/C=C(/*)c1ccccc1,39.5
*C(*)O,134
*CC(*)OCC(CC)CCCC,-66
*CC(*)SCCCC,-20
*CC(*)SCC,-7
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-10
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,29
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,-60
*C(OC(F)(F)F)C(*)(F)F,-10
*C(F)C(*)(F)OC(F)(F)F,-10
*C(F)(F)C(*)(F)OC(F)(F)F,-5
*CC(*)OCC(C)(C)CC,9
*CC(*)SC,-1
*CC(*)OCCCCCCCC,-79.5
*CC(*)(F)C(C)=O,142
*CC(*)C(=O)c1ccccc1,72.75
*CC(*)C(=O)c1ccc(Br)c(OC)c1,44
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,103.5
*CC(*)C(=O)c1ccc(Cl)cc1,63
*CC(*)C(=O)c1ccc(CC)cc1,49.25
*CC(*)C(=O)c1ccc(C(C)C)cc1,62.5
*CC(*)C(=O)c1ccc(OC)cc1,46
*CC(*)C(=O)c1ccc(C)c(C)c1,42
*CC(*)C(=O)c1ccc(CCC)cc1,44
*CC(*)C(=O)c1ccc(C)cc1,59.5
*CC(*)OC(=O)c1ccccc1OC(C)=O,59.5
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,76
*CC(*)OC(=O)CCCC(=O)c1ccccc1,45
*CC(*)OC(=O)c1cccc(Br)c1,57.5
*CC(*)OC(=O)c1ccc(Br)cc1,85.5
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,61
*CC(*)OC(=O)c1ccccc1Cl,55.75
*CC(*)OC(=O)c1cccc(Cl)c1,61.75
*CC(*)OC(=O)c1ccc(Cl)cc1,70.25
*CC(*)OC(=O)C1CCCCC1,66
*CC(*)OC(=O)CC1CCCCC1,25
*CC(*)OC(=O)CCCC1CCCCC1,-10
*CC(*)OC(=O)c1ccc(OCC)cc1,70
*CC(*)OC(=O)c1ccc(CC)cc1,57
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,120
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,27
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,54
*CC(*)NC(=O)OC(C)(C)C,120
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-18
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-9
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-10
*CC(*)OC(=O)C(F)(F)C(F)(F)F,42
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,20
*CC(*)OC(=O)c1ccncc1,98.5
*CC(*)OC(=O)c1ccc(C(C)C)cc1,67.7
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,120
*CC(*)OC(=O)c1ccccc1OC,65
*CC(*)OC(=O)c1cccc(OC)c1,44
*CC(*)OC(=O)c1ccc(OC)cc1,86.5
*CC(*)OC(=O)c1ccccc1C,42.5
*CC(*)OC(=O)c1cccc(C)c1,49
*CC(*)OC(=O)c1ccc(C)cc1,73.5
*CC(*)OC(=O)CC(C)(C)c1ccccc1,20
*CC(*)OC(=O)c1cccc([Si](C)(C)C)c1,80
*CC(*)OC(=O)c1ccc([Si](C)(C)C)cc1,130.5
*CC(*)OC(=O)C(C)(C)CCC,10
*CC(*)OC(=O)C(C)(C)C(C)(C)CC,90
*CC(*)OC(=O)C(C)(C)C(C)C(C)C,55
*CC(*)OC(=O)C(C)(C)CC(C)(C)C,55
*CC(*)OC(=O)c1cccnc1,86.5
*CC(*)OC(=O)c1cccc([N+](=O)[O-])c1,93
*CC(*)OC(F)(C(F)(F)F)C(F)(F)F,65
*CC(*)OC(=O)CCl,20.45
*CC(*)c1cccs1,71
*CC(*)(CC(=O)OCCCCCCC)C(=O)OCCCCCCC,-23
*CC(*)OC(=O)C1CCCC1,36
*CC(*)OC(=O)C1(C)CCCCC1,86
*CC(*)P(=O)(c1ccccc1)c1ccccc1,127.5
*CC(*)P(=O)(OCC)N(C)C,32
*CC(*)P(=O)(Oc1ccccc1)N(C)C,27
*CC(*)c1nc(C)nc(C)n1,70
*C1Cc2ccccc2C1*,188.5
*CC(OC)C1C(=O)OC(=O)C1*,153.5
*CC(OC)C(C(=O)O)C(*)C(=O)O,144
*CCC/C=C(/*)c1ccc(OC)cc1,11
*CCC/C=C(/*)c1ccccc1,0
*CCC/C=C(/*)c1ccc(Cl)cc1,16
*/C(C)=C(/*)[Si](C)(C)C,75
*/C(C)=C(/*)c1ccc([Si](C)(C)C)cc1,-5
*CC(*)CNc1ccc([N+](=O)[O-])cc1,144
*CC(*)CNc1ccc([N+](=O)[O-])cn1,151
*CC(*)CNc1ccc([N+](=O)[O-])cc1C,151
*CC(*)CNc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,153
*CC(*)CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],160
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,14.5
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,30.5
*CCC1CC(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1*,24
*CC(*)n1ccnc1,175
*CC/C=C(/*)[Sn](CCCC)(CCCC)CCCC,-80
*C(F)(F)C(*)(F)OC(F)C(F)F,35
*CC(*)C(=O)c1ccc(Br)cc1,101.5
*CC(*)OC(=O)CC1CCCC1,-3
*CC(*)N1CCCC1=O,158
*CCC1CC2C(CC(*)C2OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1OC(=O)CCCCCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,23.5
*CC(*)C(=O)O,115
*CC(*)C(=O)OC,10
*CC(*)C(=O)OCC,-20
*CC(*)C(=O)OCCC,-38.5
*CC(*)C(=O)OC(C)C,-5
*CC(*)C(=O)OCCCC,-49
*CC(*)C(=O)OCC(C)C,25
*CC(*)C(=O)OC(C)CC,-20
*CC(*)C(=O)OC(C)(C)C,40
*CC(*)C(=O)OCCCCCC,-57
*CC(*)C(=O)OCCCCCCC,-60
*CC(*)C(=O)OCCCCCCCC,-65
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,-42.5
*CC(*)C(=O)OC1CC2CCC1(C)C2(C)C,100
*CC(*)C(=O)OCC(F)(F)F,3.1
*CC(*)C(=O)OCC(F)(F)C(F)(F)F,-26
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,42.3
*CC(*)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,10
*CC(*)C(=O)OCC(F)(F)C(F)C(F)(F)F,-22
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,-30
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-37
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-39
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-17
*CC(*)C(=O)OCCOC,-34
*CC(*)C(=O)OCCOCC,-50
*CC(*)C(=O)OCCCOC,-66.5
*CC(*)C(=O)OCCCOCC,-61.5
*CC(*)C(=O)OCCOCC(F)(F)F,-38
*CC(*)C(=O)OCCOC(F)(F)C(F)F,-22
*CC(*)C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F,-45
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,-55
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,-49
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,-68
*CC(*)(C)C(=O)O,161.7
*CC(*)(C)C(=O)OC,108
*CC(*)(C)C(=O)OCC,66
*CC(*)(C)C(=O)OCCC,43
*CC(*)(C)C(=O)OC(C)C,85
*CC(*)(C)C(=O)OCCCC,25
*CC(*)(C)C(=O)OC(C)CC,60
*CC(*)(C)C(=O)OC(C)(C)C,107
*CC(*)(C)C(=O)OCCCCCC,-5
*CC(*)(C)C(=O)OCCCCCCCC,-11
*CC(*)(C)C(=O)OCCCCCCCCCCCC,-47.9
*CC(*)(C)C(=O)OCCCCCCCCCCCCCC,-72
*CC(*)(C)C(=O)OCCCCCCCCCCCCCCCCCC,-100
*CC(*)(C)C(=O)OC1CCCCC1,88
*CC(*)(C)C(=O)OC1CCCCC1C,85
*CC(*)(C)C(=O)OC1CCC(C)CC1,109
*CC(*)(C)C(=O)OC1CCCC(C)C1,89
*CC(*)(C)C(=O)OC1CC(C)CC(C)(C)C1,125
*CC(*)(C)C(=O)Oc1ccccc1,110
*CC(*)(C)C(=O)OCc1ccccc1,54
*CC(*)(C)C(=O)OCCc1ccccc1,49
*CC(*)(C)C(=O)OCCF,90
*CC(*)(C)C(=O)OCCCl,63
*CC(*)(C)C(=O)OCCBr,52
*CC(*)(C)C(=O)OCC(F)(F)F,75
*CC(*)(C)C(=O)OCC(F)(F)C(F)F,80
*CC(*)(C)C(=O)OC(C(F)(F)F)C(F)(F)F,75
*CC(*)(C)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,110
*CC(*)(C)C(=O)OCc1ccccc1Cl,54.1
*CC(*)(C)C(=O)OCCO,91.2
*CC(*)(C)C(=O)OCCOCC,-16
*CC(*)(C)C(=O)OCC1CCCO1,105
*CC(*)(C)C(=O)OCc1ccco1,111
*CC(*)(C)C(=O)OCCN(C)C,28.62
*CC(*)(C)C(=O)OCCN(CC)CC,26
*CC(*)(Cl)C(=O)OC,125
*CC(*)(Cl)C(=O)OCC,84
*CC(*)C(N)=O,193
*CC(*)C(=O)NC(C)C,134.62
*CC(*)C(=O)OC(CC)CC,-6
*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,-35
*CC(*)C(=O)OCC(CC)CCCC,-62
*CC(*)C(=O)OCCCCCCCCC,-89
*CC(*)C(=O)OC1CCCCC1,25
*CC(*)C(=O)OC1CC(C)CC(C)(C)C1,15
*CC(*)(C)C(=O)OCCCCCCCCCC,-64.5
*CC(*)(C)C(=O)OC1CC2CCC1(C)C2(C)C,180.5
*CC(*)(Cl)C(=O)OCCC,66
*CC(*)(Cl)C(=O)OCCCC,42
*CC(*)(C#N)C(=O)OC,147.5
*CC(*)C(=O)OCC(C)CC,-32
*CC(*)C(=O)OCC(C)(C)C,22
*CC(*)C(=O)OCCC#N,4
*CC(*)C(=O)OCF,15
*CC(*)C(=O)OCCOCCOC(F)(F)C(F)F,-40
*CC(*)C(=O)OCCSC,-60
*CC(*)C(=O)OCCCSC,-65
*CC(*)C(=O)OCCSCC,-71
*CC(*)C(=O)OCCCCSC,-70
*CC(*)C(=O)OCCCSCC,-76
*CC(*)C(=O)OCCSCC#N,-24
*CC(*)C(=O)OCCSCCC#N,-50
*CC(*)C(=O)OCCSCCCC#N,-58
*CC(*)C(=O)OCCCSCCC#N,-58
*CC(*)C(=O)OCCCCCCSCC#N,-59
*CC(*)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,104
*CC(*)C(=O)N1CCCCC1,108
*CC(*)C(=O)N1CCOCC1,150
*CC(*)C(=O)Oc1ccccc1,60
*CC(*)C(=O)Oc1ccccc1C,51.5
*CC(*)C(=O)Oc1cccc(C)c1,24.5
*CC(*)C(=O)Oc1ccc(C)cc1,42.5
*CC(*)C(=O)Oc1ccccc1C(C)(C)C,72
*CC(*)C(=O)Oc1ccc(C(C)(C)C)cc1,71
*CC(*)C(=O)Oc1ccc(OC)cc1,50.5
*CC(*)C(=O)Oc1ccccc1C(=O)OC,46
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,30
*CC(*)C(=O)Oc1cccc(C(=O)OC)c1,38
*CC(*)C(=O)Oc1cccc(C(=O)OCC)c1,24
*CC(*)C(=O)Oc1ccc(C(=O)OC)cc1,67
*CC(*)C(=O)Oc1ccc(C(=O)OCC)cc1,37
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,13
*CC(*)C(=O)Oc1ccc(-c2ccccc2)cc1,110
*CC(*)C(=O)OCc1ccccc1,9.25
*CC(*)C(=O)OCCc1ccccc1,-3
*CC(*)C(=O)Oc1cccc(N(C)C)c1,47
*CC(*)C(=O)Oc1ccc(C#N)cc1,92
*CC(*)C(=O)OCc1ccc(C#N)cc1,44
*CC(*)C(=O)Oc1ccccc1Cl,318
*CC(*)C(=O)Oc1ccc(Cl)cc1Cl,60
*CC(*)C(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,145
*CC(*)C(=O)Oc1cccc2ccccc12,85
*CC(*)C(=O)N(C)C,114
*CC(*)C(=O)NC(C)(C)C,135
*CC(*)(C)C(=O)OCCCCC,10
*CC(*)(C)C(=O)OCC(CC)CCCC,-10
*CC(*)(C)C(=O)OCCC(C)(C)C,45
*CC(*)(C)C(=O)OC(C)C(C)(C)C,108
*CC(*)(C)C(=O)OCCC(C)CC(C)(C)C,1
*CC(*)(C)C(=O)OCCOC,24
*CC(*)(C)C(=O)OCCOCCO,20
*CC(*)(C)C(=O)OCC(C)O,76
*CC(*)(C)C(=O)OCC(O)CO,84.4
*CC(*)(C)C(=O)OCCNC(C)(C)C,41
*CC(*)(C)C(=O)OCCC#N,91
*CC(*)(C)C(=O)OCCO[N+](=O)[O-],55
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,47
*CC(*)(C)C(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,49
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-15
*CC(*)(C)C(=O)OCCS(=O)CC,25
*CC(*)(C)C(=O)O[Si](C)(C)C,97.5
*CC(*)(C)C(=O)OCC1(C)COCOC1,142
*CC(*)(C)C(=O)OCC1(C)COC(C)(C)OC1,108
*CC(*)(C)C(=O)OCC(C)(C)C1OCC(C)(C)CO1,118
*CC(*)(C)C(=O)OC12CC3CC(CC(C3)C1)C2,183
*CC(*)(C)C(=O)OC12CC3CC(C)(CC(C)(C3)C1)C2,194
*CC(*)(C)C(=O)Oc1ccc(CC#N)cc1,131
*CC(*)(C)C(=O)Oc1ccc(C(=O)OC)cc1,109
*CC(*)(CC)C(=O)OCC,27
*CC(*)(CC(=O)OCC)C(=O)OCC,65.5
*CC(*)(CC(=O)OCCCC)C(=O)OCCCC,24
*CC(*)(C#N)C(=O)OCCCC,117
*CC(*)(F)C(=O)OC,142
*CC(*)(CF)C(=O)OCC,43
*CC(*)(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1,142
*CC(*)(CC(=O)OCC1CCCCC1)C(=O)OCC1CCCCC1,83
*CC(*)(CC(=O)OCCC1CCCCC1)C(=O)OCCC1CCCCC1,48
*CC(*)(CC(=O)OCCCC1CCCCC1)C(=O)OCCCC1CCCCC1,7
*CC(*)(CC(=O)Oc1ccccc1)C(=O)Oc1ccccc1,132
*CC(*)(CC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,55
*CC(*)(CC(=O)OCCc1ccccc1)C(=O)OCCc1ccccc1,45
*CC(*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,-8
*CC(*)C(=O)Oc1ccc(Cl)cc1,330
*CC(*)(C)C(=O)Oc1ccc(C#N)cc1,155
*CC(*)C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-68
*CC(*)C(=O)OCCC(C)OC,-56
*CC(*)(C)C(=O)OC1CCC(C(C)(C)C)CC1,100
*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,12.5
*CC(*)(C)C(=O)OCC(C)(C)C,38
*CC(*)(C)C(=O)Oc1ccc(C(C)(C)C)cc1,91
*CC(*)(CC(=O)OC)C(=O)OC,95
*C(*)C(=O)OCC,13.5
*C(*)C(=O)OC,85.75
*C(*)C(=O)OCCC,-15
*CC(*)C(=O)Oc1ccc(C(=O)O)cc1,125
*CC(*)(C)C(N)=O,88.7
*C1C(=O)N(C2CCCCC2)C(=O)C1*,232
*CC(*)(CC(=O)OCCCCC)C(=O)OCCCCC,2
*CC(*)(CC(=O)OCCCCCC)C(=O)OCCCCCC,-7
*CC(*)(CC(=O)OCCC)C(=O)OCCC,46.5
*CC(*)(C#N)C(=O)OCC,115
*CC(*)C(=O)OCCO,20.7
*CC(*)(C)C(=O)Oc1ccc(C)cc1C,109
*CC(*)(C)C(=O)Oc1cc(C)cc(C)c1,106
*CC(*)(C#N)C(=O)OCCCCCC,86
*CC(*)(C)C(=O)OCC1CO1,68.5
